ShopID,ItemID,Display_Name,Campaign_stock
90309109,1904172659,,
51115741,2167371343,,
46567482,1153439532,,
62582411,1022848316,,
38181258,1464714627,,
18109237,691037042,,
13837088,1776373129,,
13094180,1276516476,,
898992,66281908,,
11891544,791105023,,
20026927,1575756067,,
4296506,56586841,,
5136655,31055688,,
8768318,65950410,,
7208484,1113169759,,
759270,724183981,,
20296128,2218322750,,
46583829,2030789240,,
3046432,8929528,,
18795913,190755784,,
9142318,1880725780,,
4759584,139637447,,
23555847,284727500,,
10973328,1178940856,,
1062348,8900469,,
44027987,755553145,,
29305086,658244515,,
5920933,74175195,,
1521932,477748508,,
66804272,1902169861,,
38020002,606239117,,
27731427,1978166114,,
110863577,1717924910,,
4370441,192161865,,
2711814,1991931071,,
68464744,1702625910,,
10160445,411285802,,
58696021,1821073299,,
13130022,1867854287,,
13192620,100228321,,
11389057,114338554,,
59478395,1000252277,,
64392450,1274990217,,
15097105,427612867,,
17146406,1620856585,,
39252511,943964984,,
27045712,1647166571,,
4759584,15862548,,
3918467,295126948,,
42170420,1375540509,,
860248,1656663755,,
10160445,284732496,,
7942015,1437295063,,
46567482,995319931,,
27230843,1216601465,,
12908488,1223426709,,
12538990,837375977,,
14015981,110079441,,
445988,1179909047,,
65624287,1081550201,,
114229526,1814160047,,
25954929,1746959801,,
6092000,1948026052,,
31966071,775900091,,
9501661,404655520,,
37084147,1723596197,,
16921925,1021801076,,
8657582,172412714,,
20287667,2172864186,,
42728708,1593076186,,
4121783,1857736072,,
18356883,415545912,,
10691641,1634764025,,
6510062,1906273577,,
8656998,1413881052,,
27481706,490140655,,
7208484,1193869325,,
12867217,754202898,,
11659312,2146367952,,
10083320,1298825126,,
2420767,1391359167,,
126574174,1963173390,,
12666707,2017647176,,
2913507,2242420095,,
4548089,29667678,,
230360,890655941,,
2821325,1699531012,,
11608784,1400342357,,
24629463,2133362003,,
85961994,1990468591,,
6680597,66180509,,
2420767,1391359167,,
76746647,1285627668,,
2940989,14061758,,
10973328,1955289135,,
34378039,847930976,,
9459727,130765088,,
39150727,834647879,,
20091889,1866588193,,
4093862,1790220241,,
27230843,760860806,,
20746828,939125959,,
10083320,1328860321,,
19038483,433245913,,
72177942,1943848651,,
64923059,1160820269,,
9905225,2051733434,,
32073262,755428347,,
67736377,1120753465,,
230360,1775995218,,
90309109,1904251679,,
17800584,1804870627,,
4759584,150188804,,
16269177,825805264,,
230360,2166258138,,
29912596,1422182583,,
5384408,1913394358,,
17146406,308898677,,
8673002,396514676,,
7214848,1212341671,,
18399858,210398652,,
31695609,976052087,,
140175217,2116286439,,
9091679,1210301464,,
9896467,1417783523,,
10287412,2245921171,,
9918897,2166871595,,
13083132,1256410833,,
5136655,129056666,,
10740059,250979591,,
11239663,1564305201,,
338364,1489580507,,
68471832,1286559371,,
14015981,135072472,,
38126950,998718298,,
27900977,604356173,,
13491284,211341374,,
10647243,93994686,,
13921508,293105373,,
7214848,1100417957,,
13874904,1964480548,,
860248,48407281,,
6194636,1001306981,,
6920705,1662772063,,
13039119,922409852,,
983330,679824135,,
31882863,1690619412,,
11461206,2265129991,,
95540047,1621242020,,
14175065,968052021,,
50206822,1647375806,,
1309118,1520036698,,
8514700,2273656460,,
1741732,1888740593,,
68622456,1214750549,,
119754394,1897409120,,
27365602,2102394254,,
1062348,23947092,,
10221730,987531658,,
9679563,1058889932,,
23070467,1008048790,,
10740059,77344844,,
11980406,1678689900,,
1115900,99627097,,
